# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Sep 26 02:02:47 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.00000 0.1000000015 1.1711064122    0.100 -2.911  3.4983  5.294    0 12.047 17.784 16.119 14.518 13.166 11.628 10.153 9.526 9.262
0.0152 0.01508 9.00000 0.1200000048 1.3193154741    0.120 -2.656  3.5259  5.228    0 11.410 16.348 14.878 13.354 12.178 10.861 9.583 8.954 8.708
0.0152 0.01508 9.00000 0.1400000006 1.4384526719    0.140 -2.483  3.5413  5.185    0 10.979 15.575 14.173 12.691 11.587 10.379 9.191 8.559 8.322
0.0152 0.01508 9.00000 0.1599999964 1.5372931554    0.160 -2.350  3.5518  5.151    0 10.644 15.049 13.677 12.219 11.155 10.018 8.883 8.248 8.018
0.0152 0.01508 9.00000 0.2000000030 1.6938790862    0.200 -2.148  3.5654  5.101    0 10.141 14.331 12.981 11.550 10.531 9.485 8.417 7.778 7.558
0.0152 0.01508 9.00000 0.2500000000 1.8403257998    0.250 -1.962  3.5762  5.055    0 9.675 13.713 12.373 10.960 9.973 9.001 7.981 7.339 7.127
0.0152 0.01508 9.00000 0.3246762753 1.9998454895    0.325 -1.741  3.5867  4.989    0 9.122 13.029 11.693 10.300 9.339 8.434 7.455 6.808 6.607
0.0152 0.01508 9.00000 0.3369711637 2.0215316883    0.337 -1.717  3.5882  4.987    0 9.062 12.952 11.616 10.225 9.268 8.372 7.400 6.751 6.553
0.0152 0.01508 9.00000 0.3500000238 2.0434175133    0.350 -1.693  3.5898  4.986    0 9.003 12.873 11.538 10.150 9.197 8.311 7.345 6.696 6.499
0.0152 0.01508 9.00000 0.3619195223 2.0625317600    0.362 -1.661  3.5910  4.973    0 8.921 12.780 11.444 10.058 9.108 8.229 7.266 6.616 6.421
0.0152 0.01508 9.00000 0.3977933824 2.1154512372    0.398 -1.570  3.5941  4.935    0 8.694 12.526 11.184 9.806 8.864 8.000 7.046 6.390 6.201
0.0152 0.01508 9.00000 0.4000000060 2.1185024399    0.400 -1.565  3.5943  4.934    0 8.683 12.513 11.171 9.794 8.852 7.989 7.036 6.380 6.191
0.0152 0.01508 9.00000 0.4500000179 2.1822809362    0.450 -1.460  3.6007  4.905    0 8.419 12.185 10.837 9.475 8.547 7.720 6.788 6.125 5.947
0.0152 0.01508 9.00000 0.5157653689 2.2531364752    0.516 -1.296  3.6114  4.844    0 8.010 11.679 10.312 8.980 8.078 7.305 6.403 5.731 5.572
0.0152 0.01508 9.00000 0.5176328421 2.2549214790    0.518 -1.292  3.6118  4.843    0 8.001 11.666 10.298 8.968 8.066 7.295 6.395 5.722 5.564
0.0152 0.01508 9.00000 0.5201461315 2.2573005272    0.520 -1.287  3.6122  4.842    0 7.988 11.648 10.281 8.951 8.051 7.282 6.383 5.710 5.553
0.0152 0.01508 9.00000 0.5236759186 2.2605974791    0.524 -1.280  3.6128  4.840    0 7.969 11.624 10.255 8.928 8.029 7.264 6.366 5.693 5.536
0.0152 0.01508 9.00000 0.5292700529 2.2657191669    0.529 -1.268  3.6137  4.836    0 7.939 11.586 10.216 8.891 7.994 7.233 6.337 5.664 5.509
